parameter set	memory allocation	implementation	variant	CI low	CI high	p-value
hps2048509	stack	NG21	amx	-0.00445613349957625	0.00505070819187334	0
hps2048509	stack	NG21	neon	-0.00476885394843924	0.00473798753352273	0
hps2048509	mmap	NG21	amx	-0.00514629400225242	0.00436054784598803	0
hps2048509	mmap	NG21	neon	-0.00455935266743429	0.0049474889034745	0
hps2048677	stack	NG21	amx	-0.00567112822125026	0.00383571526178164	0
hps2048677	stack	NG21	neon	-0.00517616718400759	0.00433067472214189	2.99360432082909e-57
hps2048677	stack	CCHY23	amx	-0.00462892069429578	0.00487792082393985	0
hps2048677	stack	CCHY23	tc	0.0904343123012524	0.0999626690396816	1.09361769975269e-18
hps2048677	stack	CCHY23	tmvp	0.0719821177716626	0.0815029464421647	0
hps2048677	mmap	NG21	amx	-0.00352066727137711	0.00598617782188143	0
hps2048677	mmap	NG21	neon	-0.00430496565583357	0.00520187630354919	6.6220495547657e-60
hps2048677	mmap	CCHY23	amx	-0.00462969344939255	0.00487714806838719	0
hps2048677	mmap	CCHY23	tc	0.155393082641657	0.164960708385102	1
hps2048677	mmap	CCHY23	tmvp	-0.0126240202922561	-0.0031170315217986	0
hps4096821	stack	NG21	amx	-0.00441550372988325	0.00509133802290521	0
hps4096821	stack	NG21	neon	-0.00474681619116835	0.0047600252903312	1.15607970127895e-120
hps4096821	mmap	NG21	amx	-0.00308345128964641	0.00642339681995842	0
hps4096821	mmap	NG21	neon	-0.00458454326628748	0.00492229828289146	1.28105980364664e-119
hrss701	stack	NG21	amx	-0.00467371425181691	0.00483312724467854	0
hrss701	stack	NG21	neon	-0.00438349173278975	0.00512335007385415	2.72143922544113e-53
hrss701	stack	CCHY23	amx	-0.00584898799657636	0.00365785633750868	0
hrss701	stack	CCHY23	tmvp	0.00405892457393462	0.013565950708819	0
hrss701	mmap	NG21	amx	-0.00555017925889032	0.0039566637313003	0
hrss701	mmap	NG21	neon	-0.00523428017656843	0.00427256185438516	2.75198775230747e-18
hrss701	mmap	CCHY23	amx	-0.00774280020353744	0.00176406251695805	0
hrss701	mmap	CCHY23	tmvp	-0.0047050087249223	0.00480183276204395	0
